"","target_vertical","target_horizontal","target_type","index","batter"
"3721","low","umpMiddle","SL",4855,455104
"861","low","umpLeft","SL",1881,545361
"2752","high","umpRight","FA",3847,457763
"709","middle","umpMiddle","FA",1725,446381
"1829","high","umpRight","FA",2865,518516
"626","middle","umpMiddle","FA",1642,459431
"1888","low","umpLeft","SL",2924,547172
"2353","low","umpLeft","SL",3402,596115
"1057","middle","umpMiddle","CU",2086,452678
"2836","middle","umpLeft","FA",3938,576397
"3533","high","umpMiddle","SL",4664,405395
"1442","low","umpRight","SL",2474,150029
"1852","middle","umpMiddle","FA",2888,453568
"534","middle","umpLeft","CU",1550,571976
"819","low","umpLeft","FA",1836,594777
"4222","middle","umpLeft","FA",5421,491676
"4251","low","umpLeft","SL",5450,491676
"2989","low","umpLeft","SL",4105,595879
"1989","middle","umpMiddle","FA",3031,474832
"327","low","umpLeft","FA",1333,518692
"1861","high","umpMiddle","SL",2897,518614
"1464","middle","umpLeft","FA",2496,467092
"3466","low","umpRight","SL",4595,453568
"2965","low","umpLeft","FA",4074,519203
"3949","high","umpMiddle","FA",5148,453568
"291","low","umpMiddle","SL",1293,453923
"1864","high","umpMiddle","CU",2900,571448
"800","middle","umpMiddle","SL",1816,501571
"4158","middle","umpLeft","FA",5357,595751
"2986","low","umpLeft","FA",4102,452657
"2307","low","umpLeft","FA",3356,471865
"965","low","umpLeft","CU",1991,594807
"1202","middle","umpRight","SL",2234,542255
"3876","low","umpRight","FA",5010,571602
"486","low","umpLeft","CU",1501,588751
"3114","low","umpLeft","FA",4243,607208
"4239","low","umpLeft","SL",5438,460026
"782","low","umpLeft","SL",1798,452678
"1534","high","umpLeft","SL",2566,502317
"3919","high","umpLeft","SL",5054,607345
"467","high","umpRight","FA",1482,592885
"495","low","umpLeft","SL",1510,445988
"4228","high","umpLeft","FA",5427,457763
"2493","middle","umpLeft","FA",3564,491676
"1294","high","umpMiddle","SL",2326,605412
"1997","high","umpLeft","SL",3039,457763
"2369","low","umpLeft","FA",3418,506924
"3009","middle","umpRight","SL",4130,546991
"1783","high","umpRight","FA",2819,474832
"2680","low","umpLeft","FA",3773,642162
"1728","low","umpLeft","FA",2764,458731
"2183","middle","umpMiddle","SL",3229,596115
"1549","high","umpLeft","FA",2581,457705
"4091","low","umpLeft","FA",5290,452254
"82","high","umpMiddle","FA",1082,519083
"3481","high","umpLeft","FA",4611,435622
"2090","low","umpLeft","FA",3135,592669
