"","target_vertical","target_horizontal","target_type","index","batter"
"2104","low","umpRight","SL",3149,518934
"226","high","umpRight","FA",1228,474832
"1474","low","umpMiddle","CU",2506,457787
"461","low","umpRight","FA",1476,543829
"237","low","umpMiddle","SL",1239,605509
"775","high","umpLeft","FA",1791,457477
"3740","high","umpRight","CU",4874,593528
"3137","middle","umpMiddle","FA",4266,572191
"3795","high","umpRight","CU",4929,543333
"3479","low","umpRight","FA",4609,448602
"3871","low","umpLeft","SL",5005,547989
"852","high","umpRight","FA",1872,594777
"3467","high","umpRight","FA",4596,453568
"3835","low","umpLeft","SL",4969,547989
"1391","low","umpLeft","FA",2423,571578
"125","low","umpLeft","SL",1127,434636
"3689","low","umpRight","FA",4823,571681
"1131","middle","umpMiddle","CU",2162,488818
"2804","middle","umpRight","FA",3904,605412
"2976","high","umpRight","CU",4092,608365
"123","high","umpLeft","FA",1125,452655
"1159","high","umpLeft","SL",2191,593495
"3089","high","umpLeft","SL",4217,519346
"3222","low","umpLeft","SL",4351,429665
"3738","middle","umpRight","FA",4872,543333
"346","middle","umpRight","SL",1357,430947
"2637","low","umpRight","FA",3730,572114
"592","high","umpLeft","SL",1608,445055
"153","low","umpMiddle","CU",1155,452655
"2670","middle","umpLeft","FA",3763,435622
"3561","middle","umpRight","FA",4693,405395
"995","low","umpMiddle","SL",2024,594807
"2901","low","umpMiddle","SL",4004,576397
"3911","low","umpLeft","SL",5046,541645
"1992","low","umpMiddle","FA",3034,474832
"1860","low","umpLeft","FA",2896,518614
"1734","low","umpLeft","SL",2770,453056
"2","middle","umpMiddle","FA",1001,445055
"4108","low","umpLeft","SL",5307,460026
"4086","low","umpLeft","SL",5285,491676
"400","high","umpRight","CU",1415,543829
"67","middle","umpMiddle","FA",1067,605486
"2852","low","umpLeft","SL",3955,649557
"1485","high","umpLeft","CU",2517,547180
"171","high","umpLeft","FA",1173,605509
"2002","low","umpLeft","SL",3044,452254
"1126","high","umpLeft","FA",2157,542255
"4277","low","umpLeft","SL",5477,491676
"3078","high","umpRight","FA",4206,519076
"208","low","umpLeft","FA",1210,453923
"4246","low","umpLeft","SL",5445,607776
"4236","middle","umpMiddle","FA",5435,460026
"2696","low","umpRight","FA",3789,518934
"420","high","umpMiddle","FA",1435,453400
"2268","high","umpLeft","FA",3316,502671
"3798","low","umpLeft","SL",4932,593528
"2282","low","umpLeft","FA",3330,455104
"4364","high","umpRight","FA",5566,435622
"2442","low","umpLeft","FA",3508,457763
"546","low","umpLeft","FA",1562,493351
"424","low","umpLeft","FA",1439,543408
"1812","high","umpRight","FA",2848,452254
"3690","low","umpLeft","FA",4824,571681
"816","middle","umpMiddle","SL",1832,431151
"2840","low","umpRight","FA",3943,425877
"3072","high","umpLeft","FA",4200,542340
"3846","low","umpLeft","SL",4980,573135
"2448","low","umpRight","SL",3515,460026
"1335","low","umpLeft","FA",2367,592273
"3868","low","umpLeft","CU",5002,547989
"1896","low","umpMiddle","SL",2932,453568
"2900","low","umpLeft","SL",4003,576397
"1733","high","umpLeft","FA",2769,453056
"3657","high","umpRight","CU",4791,444482
"1660","low","umpLeft","SL",2696,588751
"1857","high","umpMiddle","FA",2893,518614
"474","low","umpMiddle","SL",1489,542303
"3291","low","umpRight","FA",4420,429665
"901","low","umpRight","CU",1924,543213
"2759","middle","umpMiddle","FA",3854,434604
"1538","middle","umpMiddle","FA",2570,474568
"3560","low","umpLeft","SL",4692,405395
"68","low","umpLeft","FA",1068,605486
"2662","low","umpRight","FA",3755,571448
"3597","low","umpRight","FA",4729,488862
"3028","low","umpLeft","SL",4151,542583
"645","low","umpRight","SL",1661,607680
"629","low","umpRight","CU",1645,459431
"3205","low","umpRight","CU",4334,594694
"2726","low","umpLeft","FA",3820,448602
"33","low","umpRight","FA",1033,475115
"3881","middle","umpMiddle","SL",5016,573135
"1717","high","umpLeft","FA",2753,544369
"977","middle","umpRight","CU",2006,446359
"4241","middle","umpLeft","FA",5440,467055
"2134","low","umpLeft","FA",3179,572863
"3180","middle","umpMiddle","FA",4309,544931
"1074","high","umpLeft","FA",2104,527038
"2196","high","umpRight","CU",3242,572863
"3039","high","umpMiddle","CU",4163,606115
"2416","middle","umpLeft","FA",3470,452254
"3531","low","umpRight","FA",4662,405395
"136","high","umpRight","FA",1138,622110
"2730","low","umpRight","SL",3824,435622
"944","low","umpLeft","SL",1970,446359
"472","middle","umpMiddle","FA",1487,519317
"368","high","umpRight","FA",1380,425796
"684","low","umpLeft","FA",1700,518626
"3500","low","umpLeft","FA",4630,543734
"1571","high","umpRight","FA",2603,641771
"2588","low","umpLeft","SL",3680,605486
"3972","low","umpRight","FA",5171,471865
"1736","low","umpLeft","SL",2772,453056
"3630","low","umpMiddle","SL",4763,502671
"1988","middle","umpMiddle","CU",3030,491676
"2880","low","umpMiddle","FA",3983,545341
"4022","low","umpRight","SL",5221,453568
"3091","low","umpMiddle","FA",4219,542583
"2877","middle","umpRight","FA",3980,425509
"3033","middle","umpMiddle","SL",4156,444489
"3567","low","umpMiddle","SL",4699,527043
"2667","low","umpRight","FA",3760,448602
"1477","high","umpRight","FA",2509,433589
"2838","low","umpRight","FA",3941,425877
"313","low","umpLeft","FA",1318,605538
"390","high","umpLeft","SL",1405,452095
"441","low","umpLeft","SL",1456,519317
"3063","low","umpLeft","FA",4190,570267
"4276","low","umpLeft","FA",5476,543148
"1191","middle","umpLeft","SL",2223,611177
"2345","middle","umpRight","CU",3394,448602
"1586","middle","umpRight","FA",2618,628356
"3029","high","umpMiddle","SL",4152,541650
"1613","low","umpRight","SL",2645,628356
"2206","high","umpRight","FA",3252,502671
"1405","low","umpMiddle","SL",2437,502671
"2237","low","umpRight","SL",3285,502671
"3753","low","umpRight","CU",4887,460077
"404","high","umpRight","FA",1419,445988
"409","high","umpRight","FA",1424,519317
"3865","middle","umpMiddle","FA",4999,466320
"3075","middle","umpLeft","FA",4203,542340
"2457","low","umpLeft","SL",3524,491676
"3340","high","umpMiddle","CU",4469,608325
"4252","low","umpRight","SL",5451,491676
"3655","high","umpLeft","FA",4789,444482
"1467","high","umpLeft","SL",2499,543685
"3248","low","umpLeft","CU",4377,596019
"558","low","umpLeft","FA",1574,519141
"4011","high","umpLeft","SL",5210,518960
"3290","low","umpRight","SL",4419,429665
"3105","middle","umpLeft","FA",4233,570267
"3360","high","umpRight","FA",4489,527038
"3307","middle","umpMiddle","CU",4436,543401
"541","low","umpLeft","CU",1557,425834
"743","middle","umpMiddle","FA",1759,112526
"2622","low","umpMiddle","SL",3714,571976
"476","low","umpRight","CU",1491,542303
"1262","low","umpRight","SL",2294,622110
