"","target_vertical","target_horizontal","target_type","index","batter"
"1035","middle","umpMiddle","CU",2064,501571
"1042","low","umpLeft","CU",2071,527038
"1062","low","umpRight","CU",2092,493316
"1065","low","umpLeft","FA",2095,435522
"1069","low","umpRight","SL",2099,501571
"1088","low","umpLeft","SL",2119,571841
"1105","low","umpLeft","FA",2136,435522
"1125","low","umpMiddle","SL",2156,624424
"1134","low","umpLeft","FA",2165,518692
"1140","low","umpRight","FA",2171,455976
"1143","low","umpRight","CU",2175,455976
"1147","low","umpLeft","FA",2179,452095
"1153","high","umpMiddle","CU",2185,611177
"1169","low","umpLeft","CU",2201,518692
"1171","low","umpMiddle","SL",2203,425796
"1181","low","umpMiddle","FA",2213,455976
"1193","low","umpMiddle","CU",2225,593495
"1196","low","umpLeft","FA",2228,502032
"1208","low","umpMiddle","FA",2240,488818
"1215","low","umpRight","SL",2247,425796
"1219","low","umpLeft","SL",2251,425796
"1239","high","umpRight","FA",2271,607776
"1241","high","umpMiddle","SL",2273,543063
"1242","low","umpLeft","SL",2274,543063
"1246","low","umpLeft","CU",2278,592620
"1264","low","umpLeft","SL",2296,622110
"1279","low","umpLeft","SL",2311,543063
"1284","low","umpLeft","FA",2316,456501
"1303","low","umpLeft","FA",2335,474832
"1317","low","umpLeft","FA",2349,592620
"1327","low","umpLeft","FA",2359,605412
"1328","middle","umpLeft","SL",2360,605412
"1331","low","umpLeft","SL",2363,516416
"1337","high","umpLeft","FA",2369,592273
"1339","low","umpLeft","SL",2371,502671
"1349","middle","umpLeft","FA",2381,630111
"1350","low","umpLeft","CU",2382,630111
"1352","low","umpMiddle","CU",2384,630111
"1355","low","umpLeft","FA",2387,571578
"1359","high","umpLeft","CU",2391,571578
"1370","low","umpRight","FA",2402,502671
"1372","middle","umpMiddle","FA",2404,430001
"1374","low","umpRight","SL",2406,456078
"1376","middle","umpMiddle","FA",2408,456078
"1377","low","umpMiddle","SL",2409,456078
"1378","low","umpLeft","FA",2410,630111
"1386","low","umpRight","FA",2418,630111
"1393","low","umpMiddle","FA",2425,571578
"1404","high","umpLeft","FA",2436,502671
"1415","low","umpLeft","FA",2447,630111
"1420","low","umpMiddle","SL",2452,605113
"1422","low","umpRight","FA",2454,605113
"1426","low","umpMiddle","SL",2458,594838
"1440","middle","umpLeft","CU",2472,150029
"1441","low","umpLeft","SL",2473,150029
"1456","high","umpRight","FA",2488,475582
"1460","low","umpMiddle","SL",2492,467092
"1461","low","umpLeft","SL",2493,467092
"1462","high","umpRight","FA",2494,467092
"1468","middle","umpMiddle","SL",2500,543685
"1472","low","umpLeft","FA",2504,457787
"1476","middle","umpLeft","FA",2508,433589
"1480","low","umpLeft","FA",2512,572191
"1487","middle","umpLeft","SL",2519,547180
"1492","middle","umpMiddle","FA",2524,502517
"1494","high","umpRight","CU",2526,475582
"1510","high","umpMiddle","CU",2542,433589
"1528","low","umpRight","SL",2560,467092
"1539","low","umpLeft","SL",2571,474568
"1542","high","umpMiddle","FA",2574,501896
"1550","low","umpMiddle","FA",2582,628356
"1558","low","umpLeft","FA",2590,455755
"1576","low","umpLeft","SL",2608,624428
"1590","middle","umpMiddle","SL",2622,516782
"1592","low","umpLeft","FA",2624,455755
"1597","high","umpLeft","FA",2629,446481
"1611","low","umpRight","CU",2643,628356
"1612","middle","umpMiddle","FA",2644,628356
"1616","low","umpMiddle","SL",2648,516782
"1621","middle","umpMiddle","SL",2653,543281
"1630","low","umpLeft","SL",2666,570256
"1632","middle","umpMiddle","FA",2668,543829
"1648","middle","umpRight","FA",2684,542303
"1669","high","umpLeft","FA",2705,605228
"1682","low","umpLeft","SL",2718,445988
"1687","high","umpLeft","FA",2723,592885
"1688","low","umpMiddle","SL",2724,592885
"1700","high","umpLeft","FA",2736,458731
"1703","high","umpLeft","CU",2739,453056
"1726","low","umpRight","SL",2762,592122
"1739","low","umpLeft","SL",2775,596142
"1741","low","umpLeft","SL",2777,596142
"1744","low","umpLeft","FA",2780,516770
"1748","middle","umpLeft","SL",2784,516770
"1754","low","umpRight","FA",2790,608701
"1755","high","umpLeft","CU",2791,608701
"1757","high","umpMiddle","FA",2793,519222
"1760","low","umpMiddle","SL",2796,519222
"1778","middle","umpLeft","SL",2814,491676
"1780","high","umpLeft","FA",2816,543063
"1792","high","umpRight","CU",2828,605509
"1802","low","umpRight","FA",2838,457763
"1803","low","umpLeft","FA",2839,457763
"1807","high","umpLeft","FA",2843,457763
"1809","low","umpRight","CU",2845,452254
"1811","low","umpLeft","SL",2847,452254
"1824","high","umpRight","SL",2860,543063
"1837","low","umpLeft","SL",2873,456488
"1838","low","umpLeft","SL",2874,456488
"1848","high","umpRight","FA",2884,434636
"1850","low","umpLeft","FA",2886,453568
"1866","high","umpLeft","FA",2902,430605
"1871","low","umpRight","CU",2907,467827
"1874","low","umpLeft","SL",2910,467827
"1879","middle","umpRight","FA",2915,506924
"1883","low","umpRight","FA",2919,642162
"1887","low","umpLeft","FA",2923,547172
"1892","high","umpLeft","FA",2928,518452
"1894","low","umpMiddle","FA",2930,453568
"1911","middle","umpMiddle","FA",2947,467827
"1913","middle","umpMiddle","CU",2949,506924
"1915","high","umpLeft","FA",2951,642162
"1916","low","umpMiddle","FA",2952,642162
"1917","low","umpRight","SL",2953,642162
"1931","low","umpLeft","SL",2967,571448
"1933","high","umpRight","FA",2969,571448
"1934","middle","umpRight","SL",2970,571448
