"","index","batter","zone_1","zone_2","zone_3","zone_4","zone_5","zone_6","zone_7","zone_8","zone_9","next1_avg","next1_bbpa","next1_iso","next1_hits","next1_hr","next1_ops","next1_stkout","next1_rbi","next2_avg","next2_bbpa","next2_iso","next2_hits","next2_hr","next2_ops","next2_stkout","next2_rbi","cur_avg","cur_bbpa","cur_iso","cur_hits","cur_hr","cur_ops","cur_stkout","cur_rbi","CU_miss","FA_miss","SL_miss","bats_l","pitch_count","mon_third","mon_second","mon_first","scoreStd","target_vertical","target_horizontal","target_type","outs_when_up_0","outs_when_up_1","outs_when_up_2","strikes_0","strikes_1","strikes_2","balls_0","balls_1","balls_2","balls_3","at_bat_pitch_count_0","at_bat_pitch_count_1","at_bat_pitch_count_2","at_bat_pitch_count_3","at_bat_pitch_count_4","at_bat_pitch_count_5","at_bat_pitch_count_6","at_bat_pitch_count_7","at_bat_pitch_count_8","at_bat_pitch_count_9","at_bat_pitch_count_10","at_bat_pitch_count_11","at_bat_pitch_count_12","lp_type_CH","lp_type_CT","lp_type_CU","lp_type_FA","lp_type_IB","lp_type_ND","lp_type_SL","lp_type_NA","inning_1","inning_2","inning_3","inning_4","inning_5","inning_6","inning_7","inning_8","inning_9","lp_horizontal_umpLeft","lp_horizontal_umpMiddle","lp_horizontal_umpRight","lp_vertical_high","lp_vertical_low","lp_vertical_middle"
"4229",5332,520471,0.0872274143302181,0.0660660660660661,0.0790960451977401,0.0821596244131455,0.0416666666666667,0.0240103828682674,0.0141206675224647,0.0369318181818182,0.0206463195691203,0.285,0.056,0.178,88,11,0.797,96,52,0.263,0.169,0.366,44,18,1.025,43,48,0.254,0.068,0.125,154,12,0.687,111,61,0.0642201834862385,0.0609922621756941,0.124040920716113,-1,10,-1,-1,-1,2,"high","umpRight","FA",-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
"4230",5333,520471,0.0872274143302181,0.0660660660660661,0.0790960451977401,0.0821596244131455,0.0416666666666667,0.0240103828682674,0.0141206675224647,0.0369318181818182,0.0206463195691203,0.285,0.056,0.178,88,11,0.797,96,52,0.263,0.169,0.366,44,18,1.025,43,48,0.254,0.068,0.125,154,12,0.687,111,61,0.0642201834862385,0.0609922621756941,0.124040920716113,-1,11,-1,-1,-1,2,"middle","umpMiddle","CU",-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
"4231",5334,520471,0.0872274143302181,0.0660660660660661,0.0790960451977401,0.0821596244131455,0.0416666666666667,0.0240103828682674,0.0141206675224647,0.0369318181818182,0.0206463195691203,0.285,0.056,0.178,88,11,0.797,96,52,0.263,0.169,0.366,44,18,1.025,43,48,0.254,0.068,0.125,154,12,0.687,111,61,0.0642201834862385,0.0609922621756941,0.124040920716113,-1,12,-1,-1,-1,2,"high","umpMiddle","FA",-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1
"4232",5335,608384,0.0555555555555556,0.0727272727272727,0.130434782608696,0.145161290322581,0.104166666666667,0.0382775119617225,0.0275862068965517,0.0193798449612403,0.025974025974026,0.263,0.169,0.366,44,18,1.025,43,48,0.272,0.079,0.246,100,19,0.86,103,64,0.285,0.056,0.178,88,11,0.797,96,52,0.166666666666667,0.137022397891963,0.228070175438596,1,13,-1,-1,1,2,"high","umpRight","FA",-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1
"4233",5336,608384,0.0555555555555556,0.0727272727272727,0.130434782608696,0.145161290322581,0.104166666666667,0.0382775119617225,0.0275862068965517,0.0193798449612403,0.025974025974026,0.263,0.169,0.366,44,18,1.025,43,48,0.272,0.079,0.246,100,19,0.86,103,64,0.285,0.056,0.178,88,11,0.797,96,52,0.166666666666667,0.137022397891963,0.228070175438596,1,14,-1,-1,1,2,"middle","umpLeft","SL",-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1
"4234",5337,608384,0.0555555555555556,0.0727272727272727,0.130434782608696,0.145161290322581,0.104166666666667,0.0382775119617225,0.0275862068965517,0.0193798449612403,0.025974025974026,0.263,0.169,0.366,44,18,1.025,43,48,0.272,0.079,0.246,100,19,0.86,103,64,0.285,0.056,0.178,88,11,0.797,96,52,0.166666666666667,0.137022397891963,0.228070175438596,1,15,-1,-1,1,2,"low","umpLeft","FA",-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1
"4235",5338,608384,0.0555555555555556,0.0727272727272727,0.130434782608696,0.145161290322581,0.104166666666667,0.0382775119617225,0.0275862068965517,0.0193798449612403,0.025974025974026,0.263,0.169,0.366,44,18,1.025,43,48,0.272,0.079,0.246,100,19,0.86,103,64,0.285,0.056,0.178,88,11,0.797,96,52,0.166666666666667,0.137022397891963,0.228070175438596,1,16,-1,-1,1,2,"middle","umpMiddle","FA",-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
"4236",5339,608384,0.0555555555555556,0.0727272727272727,0.130434782608696,0.145161290322581,0.104166666666667,0.0382775119617225,0.0275862068965517,0.0193798449612403,0.025974025974026,0.263,0.169,0.366,44,18,1.025,43,48,0.272,0.079,0.246,100,19,0.86,103,64,0.285,0.056,0.178,88,11,0.797,96,52,0.166666666666667,0.137022397891963,0.228070175438596,1,17,-1,-1,1,2,"low","umpMiddle","SL",-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1
"4237",5340,656555,0,0.0769230769230769,0,0.0961538461538462,0.0444444444444444,0.00862068965517241,0,0,0.00884955752212389,0.272,0.079,0.246,100,19,0.86,103,64,0.23,0.066,0.175,131,23,0.687,94,73,0.263,0.169,0.366,44,18,1.025,43,48,0.0689655172413793,0.0471014492753623,0.114457831325301,-1,18,-1,-1,1,2,"low","umpRight","SL",-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
"4238",5341,656555,0,0.0769230769230769,0,0.0961538461538462,0.0444444444444444,0.00862068965517241,0,0,0.00884955752212389,0.272,0.079,0.246,100,19,0.86,103,64,0.23,0.066,0.175,131,23,0.687,94,73,0.263,0.169,0.366,44,18,1.025,43,48,0.0689655172413793,0.0471014492753623,0.114457831325301,-1,19,-1,-1,1,2,"low","umpRight","CU",-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
